t,x,y,dark_L,dark_R,LC4_L_hz,LC4_R_hz,drive_L,drive_R,P9_hz,LC4_left_hz,LC4_right_hz,DNa01_left_hz,DNa01_right_hz,DNa02_left_hz,DNa02_right_hz,oDN1_left_hz,oDN1_right_hz,GF_hz
0.0,0.552784845245204,-2.6811429372652062e-05,0.009708737864077669,0.006934812760055479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.553202598746054,-0.0014987659309495225,0.009708737864077669,0.006934812760055479,0.0,0.0,0.0,0.0,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.5525021691594615,0.00013065646223164122,0.009708737864077669,0.006934812760055479,0.0,0.0,0.0,0.0,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.045,0.5835741156308955,0.025182412418470728,0.011095700416088766,0.009708737864077669,200.0,200.0,0.0,0.0,233.33333333333334,191.35802469135803,182.66666666666666,0.0,0.0,0.0,66.66666666666667,66.66666666666667,66.66666666666667,133.33333333333334
0.06,0.6115003038291442,0.02812733719301425,0.012482662968099861,0.012482662968099861,200.0,200.0,0.0,0.0,133.33333333333334,193.82716049382717,182.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,100.0
0.075,0.6097956021142176,0.027036458634474556,0.012482662968099861,0.012482662968099861,0.0,0.0,0.0,0.0,166.66666666666669,0.0,0.0,66.66666666666667,0.0,0.0,0.0,0.0,0.0,66.66666666666667
0.09,0.610946598524165,0.024891695783183367,0.012482662968099861,0.012482662968099861,0.0,0.0,0.0,0.0,166.66666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.105,0.6103248092145089,0.02490205549948018,0.012482662968099861,0.012482662968099861,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.6124008066326142,0.024277478767755094,0.012482662968099861,0.013869625520110958,0.0,200.0,0.0,0.0,33.333333333333336,0.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666667
0.135,0.6126222769740294,0.024691278034965496,0.013869625520110958,0.013869625520110958,200.0,0.0,0.0,0.0,166.66666666666669,198.76543209876544,0.0,66.66666666666667,0.0,66.66666666666667,0.0,0.0,66.66666666666667,66.66666666666667
